Iteration, Radius, Step
0, 20.0000000000, -0.0010000000
1, 19.9990258270, -0.0099999999
2, 19.9892842328, -0.0999999970
3, 19.8918818982, -0.7672601534
4, 19.1454109584, -1.4516302333
5, 17.7377745946, -2.0005385282
6, 15.8103243229, -2.3885440156
7, 13.5353844752, -2.5308977518
8, 11.1733546587, -2.5147973799
9, 8.9109746986, -2.1083871043
10, 7.1315448259, -1.4375826410
11, 6.0248914946, -1.1243521835
12, 5.2543117304, -0.9292495106
13, 4.7060986652, -0.8020685437
14, 4.3167902695, -0.7742616613
15, 4.0309245104, -0.7023737141
16, 3.8596255884, -0.6504680623
17, 3.7825933680, -0.4835888256
18, 3.7782266797, -0.4634793251
19, 3.8165786579, -0.5026419934
20, 3.9042710269, -0.4994386257
21, 4.0368889346, -0.4789820694
22, 4.2039446320, -0.4345266095
23, 4.3866009683, -0.5252268271
24, 4.6430952784, -0.5807992187
25, 4.9669402122, -0.6741243610
26, 5.3880248508, -0.7820754943
27, 5.9266369169, -0.9310954694
28, 6.6232349510, -1.1346196127
29, 7.5332852256, -1.4246715075
30, 8.7437504925, -1.8280316189
31, 10.3708975028, -2.3472931276
32, 12.5367370906, -3.0195273298
33, 15.3974752021, -3.9638055489
34, 19.2239189371, -5.3150239255
35, 24.4216177518, -7.1578923051
36, 31.4821015098, -9.5120543395
37, 40.9162431303, -12.6165137404
38, 53.4714840368, -16.8536564834
39, 70.2772125594, -22.7495062592
40, 92.9893478941, -31.0749752473
